Year,State,<1,1-4,5-9,10-14,15-19,20-24,25-44,45-49,50-59,60-64,65+,Total
2008,Chiapas,0.0,0.0,0.0,0.0,1.18,1.33,3.62,3.87,14.73,6.04,7.18,4.24
2008,Chihuahua,0.0,0.0,0.0,0.0,1.96,2.83,14.44,37.86,43.7,54.87,57.63,21.74
2008,Distrito Federal,0.0,0.0,0.0,0.3,1.11,2.35,24.31,77.55,105.0,112.64,90.64,45.84
2008,Durango,0.0,0.0,0.0,0.0,0.0,4.28,7.91,16.46,18.19,18.67,31.24,10.56
2008,Guanajuato,0.0,0.0,0.0,0.0,0.0,0.41,3.2,13.32,20.61,24.62,8.49,6.1
2008,Guerrero,3.26,3.2,0.56,0.53,0.57,0.0,4.39,8.68,18.57,15.94,8.63,6.52
2008,Hidalgo,0.0,0.0,0.0,0.0,0.81,0.88,2.66,10.15,15.26,5.76,29.49,6.6
2008,Jalisco,0.0,0.0,0.0,0.0,1.18,2.16,22.7,81.31,82.42,108.46,63.65,35.53
2008,México,0.0,0.0,0.0,0.43,0.29,0.15,2.59,10.89,12.36,10.99,10.71,4.62
2008,Michoacán,0.0,0.0,0.0,0.0,0.94,0.52,6.25,12.74,24.2,39.65,18.09,9.66
2008,Morelos,0.0,0.0,0.0,0.0,0.0,1.33,6.18,15.97,25.97,15.9,20.16,9.65
2008,Nayarit,0.0,0.0,0.0,0.0,0.0,0.0,17.57,33.08,54.12,34.44,63.84,23.53
2008,Nuevo León,0.0,0.0,0.0,0.0,1.58,2.11,19.88,63.35,68.06,67.27,46.04,28.5
2008,Oaxaca,0.0,0.76,0.0,0.0,0.0,2.97,17.8,57.5,60.18,31.14,46.82,24.41
2008,Puebla,0.0,0.0,0.0,0.0,0.68,0.0,8.79,47.63,38.33,40.85,32.75,15.72
2008,Querétaro,0.0,0.0,0.0,0.0,0.0,0.0,10.24,46.03,52.73,61.44,32.93,17.47
2008,Quintana Roo,0.0,0.0,0.0,0.0,0.0,0.0,4.2,6.62,16.35,28.28,11.4,5.02
2008,San Luis Potosí,0.0,0.0,0.0,0.0,0.0,0.87,34.38,90.67,112.12,106.55,83.34,45.2
2008,Sinaloa,0.0,0.0,0.0,0.0,1.57,2.59,34.93,80.55,103.69,96.55,91.6,45.76
2008,Sonora,0.0,0.0,0.0,0.0,2.66,0.95,6.62,55.52,29.45,35.42,42.69,16.21
2008,Tabasco,0.0,0.0,0.0,0.0,0.0,0.0,3.69,18.32,16.36,21.36,18.54,6.55
2008,Tamaulipas,0.0,0.0,0.0,0.0,0.0,2.88,10.46,29.89,45.39,50.58,55.1,18.9
2008,Tlaxcala,0.0,0.0,0.0,0.0,0.0,0.0,1.68,6.76,4.99,14.97,9.2,2.96
2008,Veracruz,0.0,0.0,0.0,0.27,0.0,2.73,25.23,57.69,68.1,100.38,56.74,33.06
2008,Yucatán,0.0,0.0,0.0,0.0,0.0,1.1,10.34,31.03,41.67,53.6,87.22,21.43
2008,Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,10.71,40.0,49.04,86.59,29.75,18.87
2008,TOTAL GLOBAL,0.11,0.13,0.02,0.23,0.67,1.34,12.76,41.05,49.75,55.98,44.46,14.63
2009,Aguascalientes,0.0,0.0,0.0,0.0,0.0,3.74,9.53,25.03,59.23,49.44,43.32,12.44
2009,Baja California,0.0,0.0,0.0,0.0,0.71,2.16,12.33,49.41,76.95,93.26,66.91,18.37
2009,Baja California Sur,0.0,0.0,0.0,0.0,0.0,0.0,2.21,25.35,66.9,31.46,0.0,8.18
2009,Campeche,0.0,0.0,0.0,0.0,0.0,0.0,8.64,9.15,12.98,9.98,24.33,5.72
2009,Coahuila,0.0,0.0,0.0,0.0,1.64,2.67,26.06,124.63,100.11,198.75,89.6,35.58
2009,Colima,0.0,0.0,0.0,0.0,0.0,0.0,5.26,22.19,42.86,71.01,21.54,10.02
2009,Chiapas,0.0,0.0,0.39,0.0,0.0,0.0,1.69,8.38,9.4,9.73,4.9,2.01
2009,Chihuahua,0.0,0.85,0.62,0.0,1.3,2.81,20.75,51.58,72.55,80.8,63.03,22.1
2009,Distrito Federal,0.0,0.0,0.0,0.0,0.28,3.19,22.67,56.95,97.69,114.23,80.6,33.29
2009,Durango,0.0,0.0,0.0,0.0,0.0,1.42,4.79,13.65,23.81,45.31,14.16,6.34
2009,Guanajuato,0.0,0.0,0.0,0.0,0.38,0.81,6.43,13.57,25.3,25.24,15.23,6.2
2009,Guerrero,0.0,0.82,0.0,0.0,0.57,0.67,5.04,18.14,16.32,22.33,29.05,6.2
2009,Hidalgo,0.0,0.0,0.0,0.0,0.0,0.0,2.89,11.2,5.85,5.57,12.41,2.93
2009,Jalisco,0.0,0.0,0.0,0.29,0.59,3.39,21.01,70.95,66.47,81.9,58.26,22.4
2009,México,0.0,0.0,0.0,0.0,0.0,0.0,1.94,5.01,8.94,7.33,9.7,2.34
2009,Michoacán,0.0,0.0,0.0,0.0,0.0,1.04,10.07,37.25,38.32,31.88,32.72,11.38
2009,Morelos,0.0,0.0,0.0,0.0,0.0,0.0,6.89,17.46,23.56,38.24,22.72,8.05
2009,Nayarit,0.0,0.0,0.0,0.0,0.0,0.0,15.31,43.04,45.07,40.07,23.64,13.73
2009,Nuevo León,0.0,0.0,0.0,0.0,0.0,4.21,21.58,95.6,84.22,118.33,70.97,28.05
2009,Oaxaca,0.0,0.0,0.0,0.5,0.0,3.52,21.72,43.93,49.62,37.65,43.39,17.0
2009,Puebla,0.0,0.0,0.0,0.33,0.34,0.0,10.37,56.66,39.1,45.87,39.18,12.77
2009,Querétaro,0.0,0.0,0.0,0.0,0.0,3.55,13.19,68.96,65.3,87.56,92.4,19.8
